"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","FavoriteNumberFrom1to5","FavoriteTeam","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay","Activity_Basketball","Activity_Ski","Activity_HorseRiding","Activity_StickShift","Activity_Rubiks","Activity_Unicycle","Activity_Stilts","Activity_Juggle","Activity_IceSkate","Tried_Snails","Tried_FrogLegs","Tried_Natto","Tried_Aligator","Tried_Durian","Tried_ThousandYearOldEgg","Dislike_Coffee","Dislike_Yogurt","Dislike_Cilantro","Dislike_Tomatoes","Dislike_CarbonatedDrinks","Dislike_Eggs","Dislike_ChocolateIceCream","Follow_Football","Follow_Soccer","Follow_Basketball","Follow_Baseball","Follow_Cricket"
"935","Eggs","Blue and black","Yes, occasionally","Tiger","Vanilla","Right-handed","Not 100% sure","Warmer","50","Robert Downey Jr","No","iPhone","4","Miami Heat","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0"
"6894","sushi","Blue and black","Yes, constantly","dog","Chocolate","Right-handed","Yes, I believe so","Warmer","66","Jennifer Aniston","Yes","iPhone","2","n/a","Yes, most of them","No","Even","Tuesday","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"2169","Chicken nuggets","What dress?","Yes, occasionally","Elephant ","Vanilla","Right-handed","Yes, I believe so","Warmer","11","Rachel McAdams ","Yes","iPhone","2","","Yes, most of them","I did the throwing out thing, but didn't talk to everyone about it","Odd","Tuesday","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0"
"4410","Noodles","What dress?","I'm not sure what things you mean","Lion","Chocolate","Right-handed","Yes, I believe so","Warmer","26","Tom Cruise","No","iPhone","1","","Yes, most of them","No","Even","Tuesday","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","0","1"
"5848","Candy corn","Blue and black","Yes, occasionally","Octopus","Vanilla","Left-handed","Yes, and I have","Cooler","8","Ewan McGregor","Yes","iPhone","2","Cleveland Cavaliers","No","I did the throwing out thing, but didn't talk to everyone about it","Even","Thursday","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0"
"2113","bubble tea","What dress?","Yes, occasionally","Lion","Chocolate","Right-handed","Not 100% sure","Cooler","80","Robert","No","Android","1","","Yes, one or two","No",NA,NA,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1"
"4586","taco","A color combination not listed here","Yes, occasionally","cat","Chocolate","Right-handed","Not 100% sure","Cooler","42","Gary Cooper","No","iPhone","4","","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it","Even","Tuesday","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"5709","Avocado","White and gold","Yes, occasionally","Fish","Vanilla","Right-handed","Yes, I believe so","Cooler","37","Robert Downey Jr.","Yes","iPhone","2","C9","No","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8249","Sushi","White and gold","I'm not sure what things you mean","Lion","Chocolate","Right-handed","Not 100% sure","Cooler","99","Will Smith","No","iPhone","2","Houston Rockets","Yes, most of them","No","Even","Tuesday","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1"
"2621","Mayo","White and gold","Yes, occasionally","Panda","Chocolate","Right-handed","Not 100% sure","Cooler","72","Bryan Cranston","No","iPhone","3","Rutgers ","No","No","Odd","Thursday","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0"
"6329","Anything with shrimp or spice","White and gold","I'm not sure what things you mean","Zebra","Chocolate","Right-handed","Not 100% sure","Cooler","23","Ben Affleck","Yes","iPhone","4","","Yes, most of them","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1196","Oysters","Blue and black","Yes, occasionally","Cat","Vanilla","Right-handed","Not 100% sure","Cooler","7.27","Lebron James","Yes","Android","3","","No","No","Even","Thursday","1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0"
"9461","Pickles","I don't remember","I'm not sure what things you mean","Dog","Chocolate","Left-handed","Yes, and I have","Warmer","67","Chris Pratt","No","iPhone","4","Real Madrid","Yes, one or two","No","Odd","Tuesday","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"4942","Peanut Butter and Jelly","White and gold","Yes, constantly","Dolphin","Vanilla","Right-handed","Yes, I believe so","Warmer","79","Michael Cera","Yes","iPhone","5","","No","No","Even","Thursday","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0"
"9390","Shwarma","White and gold","Yes, constantly","Llama","Chocolate","Left-handed","Yes, and I have","Warmer","7","Arnold Schwarzenneger ","Yes","iPhone","3","Manchester United","Yes, one or two","No, but I'm totally doing that now",NA,NA,"0","0","1","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","1","1","1"
"9036","Cake ","Blue and black","Yes, occasionally","Dog","Chocolate","Right-handed","Yes, I believe so","Warmer","14","Tom Hanks","Yes","iPhone","5","NY Yankees","Yes, most of them","Yes","Even","Tuesday","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"7025","Lobster","Blue and black","Yes, constantly","Bear","Chocolate","Right-handed","Yes, I believe so","Cooler","35","Hugh Jackman","Yes","Android","4","","Yes, most of them","No, but I'm totally doing that now","Odd","Thursday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6194","Sushi","Blue and black","No","Tiger","Chocolate","Right-handed","Yes, I believe so","Cooler","100","Tom Hanks","Yes","Android","5","New York Giants","Yes, one or two","No","Odd","Thursday","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"3063","Sushi","Blue and black","Yes, occasionally","dog","Vanilla","Right-handed","Yes, I believe so","Cooler","56","Henry Cavill","Yes","Android","5","","No","Yes","Odd","Tuesday","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
"2597","raw sushi ","White and gold","Yes, occasionally","Leopard","Vanilla","","Yes, I believe so","Cooler","84","Keegan-Michael Key","No","Android","5","","Yes, one or two","No","Even","Thursday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
